id	"Comp. Word"	Frequency	Pronunciation	"English Translation"
397	自身	27028	zisin	"by oneself"
398	介護	27012	kaigo	nursing
399	機能	27006	kinoo	function
400	業者	26988	gyoosya	trader
401	治療	26986	tiryoo	"medical treatment"
402	停止	26906	teisi	suspension
403	部分	26900	bubun	portion
404	編集	26885	hensyuu	editing
405	年代	26795	nendai	age
406	利益	26770	rieki	profit
407	推進	26738	suisin	propulsion
408	将来	26645	syoorai	future
409	出席	26588	syusseki	attendance
410	市長	26521	sityoo	mayor
411	勝負	26462	syoobu	"victory or defeat"
412	反発	26444	hanpatu	opposition
413	認識	26281	ninsiki	recognition
414	連盟	26031	renmei	league
415	再開	25989	saikai	reopening
416	成立	25909	seiritu	"coming into existence"
417	発見	25903	hakken	discovery
418	延長	25877	entyoo	extension
419	殺人	25860	satuzin	murder
420	人々	25857	hitobito	"each person"
421	拉致	25758	rati	"taking captive"
422	起訴	25691	kiso	prosecution
423	通信	25666	tuusin	correspondence
424	部門	25528	bumon	division
425	政党	25507	seitoo	"political party"
426	毎日	25492	mainiti	"every day"
427	周辺	25411	syuuhen	circumference
428	厚生	25220	koosei	welfare
429	否定	25189	hitei	negation
430	生徒	25147	seito	pupil
431	段階	25141	dankai	grade
432	一時	25126	itizi	"one o'clock"
433	出版	25091	syuppan	publication
434	活躍	24951	katuyaku	activity
435	業界	24924	gyookai	"business world"
436	本社	24853	honsya	"head office"
437	十分	24845	zyuubun	plenty
438	地球	24820	tikyuu	"the earth"
439	年齢	24811	nenrei	age
440	対抗	24777	taikoo	opposition
441	上昇	24763	zyoosyoo	rising
442	勢力	24763	seiryoku	influence
443	会場	24762	kaizyoo	"assembly hall"
444	軍事	24725	gunzi	"military affairs"
445	準備	24649	zyunbi	preparation
446	決議	24585	ketugi	resolution
447	掲載	24536	keisai	publication
448	殺害	24481	satugai	killing
449	条約	24460	zyooyaku	treaty
450	宣言	24453	sengen	declaration
451	現代	24448	gendai	nowadays
452	逆転	24438	gyakuten	change
453	大幅	24362	oohaba	big
454	成績	24323	seiseki	results
455	行為	24317	kooi	act
456	努力	24297	doryoku	"great effort"
457	立場	24297	tatiba	standpoint
458	危険	24234	kiken	danger
459	独立	24217	dokuritu	independence
460	役員	24176	yakuin	officer
461	一番	24155	itiban	best
462	最初	24147	saisyo	beginning
463	変化	24126	henka	change
464	工場	24107	koozyoo	factory
465	構造	24054	koozoo	structure
466	家庭	23975	katei	home
467	国立	23939	kokuritu	national
468	雇用	23926	koyoo	employment
469	修正	23910	syuusei	amendment
470	交流	23834	kooryuu	exchange
471	会合	23826	kaigoo	meeting
472	回答	23747	kaitoo	reply
473	大切	23719	taisetu	important
474	郵政	23704	yuusei	"postal system"
475	連勝	23681	rensyoo	"consecutive victories"
476	営業	23646	eigyoo	business
477	世代	23605	sedai	generation
478	分析	23604	bunseki	analysis
479	当初	23520	toosyo	"at first"
480	認定	23470	nintei	authorization
481	一緒	23453	issyo	together
482	分野	23368	bunya	field
483	大量	23294	tairyoo	"large quantity"
484	輸入	23175	yunyuu	importation
485	指示	23077	sizi	indication
486	方向	23028	hookoo	direction
487	本格	22986	honkaku	"original method or procedure"
488	能力	22916	nooryoku	ability
489	料理	22895	ryoori	cooking
490	製造	22883	seizoo	manufacture
491	不明	22860	humei	unknown
492	人事	22832	zinzi	"personnel affairs"
493	実験	22707	zikken	experiment
494	児童	22658	zidoo	children
495	球団	22582	kyuudan	"baseball team"
496	設立	22547	seturitu	establishment
497	購入	22424	koonyuu	purchase
498	通算	22400	tuusan	total
499	登場	22376	toozyoo	entry
500	終了	22315	syuuryoo	end
501	各国	22263	kakkoku	"each nation"
502	戦後	22252	sengo	"postwar period"
503	成功	22232	seikoo	success
504	不正	22200	husei	injustice
505	前回	22165	zenkai	"previous time"
506	直後	22145	tyokugo	"immediately following"
507	審査	22135	sinsa	judging
508	緊急	22126	kinkyuu	urgent
509	事態	22051	zitai	situation
510	議会	22042	gikai	Diet
511	株価	22040	kabuka	"stock prices"
512	無料	22035	muryoo	free
513	連絡	22009	renraku	"to contact"
514	社員	22006	syain	"company employee"
515	同様	21958	dooyoo	identical
516	競争	21828	kyoosoo	competition
517	直接	21821	tyokusetu	direct
518	積極	21800	sekkyoku	positive
519	前半	21740	zenhan	"first half"
520	集中	21728	syuutyuu	concentration
521	閣僚	21644	kakuryoo	"cabinet ministers"
522	主要	21572	syuyoo	chief
523	悪化	21521	akka	deterioration
524	自己	21495	ziko	self
525	失点	21457	sitten	"losing points"
526	増加	21454	zooka	increase
527	年間	21441	nenkan	year
528	選択	21418	sentaku	selection
529	一致	21388	itti	coincidence
530	進出	21316	sinsyutu	advance
531	意向	21234	ikoo	intention
532	犯罪	21232	hanzai	crime
533	首位	21213	syui	"first place"
534	拒否	21198	kyohi	denial
535	交通	21181	kootuu	traffic
536	小説	21163	syoosetu	novel
537	首都	21094	syuto	"capital city"
538	民営	21065	minei	"private management"
539	前日	21046	zenzitu	"previous day"
540	赤字	20959	akazi	deficit
541	廃止	20940	haisi	abolition
542	体験	20929	taiken	"personal experience"
543	人生	20915	zinsei	life
544	財務	20854	zaimu	"financial affairs"
545	名誉	20839	meiyo	honor
546	請求	20805	seikyuu	claim
547	食品	20795	syokuhin	commodity
548	発行	20794	hakkoo	issue
549	減少	20773	gensyoo	decrease
550	達成	20771	tassei	achievement
551	採用	20770	saiyoo	use
552	観光	20746	kankoo	sightseeing
553	加盟	20701	kamei	participation
554	再建	20676	saiken	rebuilding
555	多数	20656	tasuu	"great number"
556	事情	20654	zizyoo	circumstances
557	信頼	20654	sinrai	reliance
558	所得	20632	syotoku	income
559	統合	20631	toogoo	integration
560	撮影	20623	satuei	photography
561	現実	20606	genzitu	reality
562	週間	20598	syuukan	week
563	金利	20588	kinri	"interest rates"
564	貿易	20557	booeki	trade
565	継続	20465	keizoku	continuation
566	帰国	20436	kikoku	"return to one's country"
567	対立	20391	tairitu	confrontation
568	役割	20304	yakuwari	part
569	変更	20267	henkoo	change
570	指定	20219	sitei	designation
571	発足	20205	hossoku	starting
572	現地	20173	genti	"actual place"
573	番号	20132	bangoo	number
574	現状	20105	genzyoo	"present condition"
575	輸出	20082	yusyutu	export
576	試験	20016	siken	examination
577	無職	19909	musyoku	"without an occupation"
578	同時	19852	doozi	simultaneous
579	完全	19836	kanzen	perfection
580	長期	19833	tyooki	"long time period"
581	途中	19829	totyuu	"on the way"
582	部屋	19821	heya	room
583	登録	19820	tooroku	registration
584	工事	19703	koozi	"construction work"
585	特定	19699	tokutei	specific
586	早期	19681	sooki	"early stage"
587	演説	19676	enzetu	speech
588	不足	19646	husoku	insufficiency
589	従来	19617	zyuurai	"up to now"
590	辞任	19614	zinin	"to resign"
591	企画	19578	kikaku	planning
592	略歴	19525	ryakureki	"brief personal record"
593	申請	19524	sinsei	application
594	先生	19519	sensei	teacher
595	主婦	19460	syuhu	housewife
596	執行	19424	sikkoo	execution
597	官邸	19423	kantei	"official residence"
598	農業	19423	noogyoo	agriculture
599	順位	19416	zyuni	order
600	誕生	19399	tanzyoo	birth
601	債権	19352	saiken	credit
602	重視	19314	zyuusi	importance
603	声明	19294	seimei	declaration
604	総会	19288	sookai	"general meeting"
605	疑問	19195	gimon	question
606	発展	19140	hatten	development
607	名人	19109	meizin	master
608	母親	19107	hahaoya	mother
609	各地	19087	kakuti	"every place"
610	競馬	19054	keiba	"horse racing"
611	長男	19033	tyoonan	"eldest son"
612	世論	19026	seron	"public opinion"
613	若者	18974	wakamono	"young man"
614	本人	18951	honnin	"the person himself"
615	宇宙	18936	utyuu	universe
616	名前	18874	namae	name
617	大使	18848	taisi	ambassador
618	主導	18790	syudoo	leadership
619	関心	18789	kansin	concern
620	全員	18770	zenin	"all members"
621	文書	18762	bunsyo	document
622	男女	18747	danzyo	"men and women"
623	確定	18664	kakutei	decision
624	将棋	18660	syoogi	shogi
625	追加	18651	tuika	addition
626	対戦	18640	taisen	"waging war"
627	両国	18635	ryookoku	"both countries"
628	関与	18629	kanyo	participation
629	規定	18617	kitei	regulation
630	航空	18609	kookuu	aviation
631	郵便	18593	yuubin	"mail service"
632	合併	18592	gappei	combination
633	通常	18515	tuuzyoo	common
634	公共	18449	kookyoo	public
635	復帰	18414	hukki	return
636	正式	18400	seisiki	"due form"
637	原則	18397	gensoku	principle
638	表情	18356	hyoozyoo	"facial expression"
639	特集	18294	tokusyuu	feature
640	新人	18285	sinzin	"new face"
641	陸上	18229	rikuzyoo	land
642	路線	18219	rosen	route
643	連覇	18188	renpa	"successive championships"
644	結婚	18170	kekkon	marriage
645	同市	18151	doosi	"same city"
646	独自	18093	dokuzi	original
647	福祉	18061	hukusi	welfare
648	優先	18016	yuusen	preference
649	総額	17953	soogaku	"sum total"
650	自信	17933	zisin	self-confidence
651	笑顔	17931	egao	"smiling face"
652	有効	17919	yuukoo	validity
653	慎重	17913	sintyoo	careful
654	先月	17838	sengetu	"last month"
655	焦点	17813	syooten	focus
656	我々	17800	wareware	we
657	部隊	17759	butai	force
658	空港	17751	kuukoo	airport
659	基地	17748	kiti	base
660	実際	17742	zissai	practicality
661	製品	17735	seihin	"manufactured goods"
662	集団	17698	syuudan	group
663	度目	17689	dome	"the Nth time"
664	明確	17576	meikaku	clear
665	市立	17550	siritu	municipal
666	組合	17547	kumiai	association
667	武装	17535	busoo	arms
668	行方	17534	yukue	whereabouts
669	情勢	17531	zyoosei	"state of things"
670	人口	17515	zinkoo	population
671	最多	17466	saita	most
672	息子	17434	musuko	son
673	補助	17419	hozyo	assistance
674	緩和	17377	kanwa	relief
675	資産	17376	sisan	property
676	大事	17371	daizi	important
677	講演	17339	kooen	lecture
678	住所	17300	zyuusyo	address
679	電子	17287	densi	electron
680	決算	17276	kessan	"balance sheet"
681	治安	17248	tian	"public order"
682	成果	17216	seika	fruits
683	活用	17200	katuyoo	"practical use"
684	制限	17101	seigen	restriction
685	所属	17097	syozoku	"attached to"
686	交代	17095	kootai	alternation
687	映像	17094	eizoo	reflection
688	破壊	17091	hakai	destruction
689	低下	17087	teika	fall
690	統一	17036	tooitu	unity
691	現行	17031	genkoo	present
692	諸国	17021	syokoku	"various countries"
693	賛成	17018	sansei	approval
694	以内	17015	inai	within
695	財源	16929	zaigen	"source of funds"
696	文学	16878	bungaku	literature
697	自殺	16846	zisatu	suicide
698	構成	16825	koosei	organization
699	解散	16818	kaisan	breakup
700	疑惑	16788	giwaku	doubt
701	様子	16767	yoosu	state
702	交換	16736	kookan	exchange
703	心配	16734	sinpai	worry
704	全面	16721	zenmen	"whole surface"
705	配慮	16715	hairyo	consideration
706	保有	16714	hoyuu	possession
707	距離	16702	kyori	distance
708	人権	16619	zinken	"human rights"
709	石油	16599	sekiyu	oil
710	遺体	16521	itai	corpse
711	避難	16497	hinan	"taking refuge"
712	復興	16486	hukkoo	revival
713	実態	16442	zittai	"true state"
714	地検	16432	tiken	"District Public Prosecutor's Office"
715	燃料	16415	nenryoo	fuel
716	復活	16394	hukkatu	revival
717	困難	16374	konnan	difficulty
718	卒業	16360	sotugyoo	graduation
719	手術	16350	syuzyutu	operation
720	複数	16324	hukusuu	several
721	党首	16314	toosyu	"party leader"
722	南部	16249	nanbu	"southern part"
723	承認	16246	syoonin	recognition
724	解説	16238	kaisetu	explanation
725	日程	16236	nittei	schedule
726	大人	16175	otona	adult
727	募集	16170	bosyuu	recruiting
728	買収	16156	baisyuu	acquisition
729	遺族	16145	izoku	"bereaved family"
730	年生	16132	nensei	"pupil in ... year"
731	衝突	16093	syoototu	collision
732	葬儀	16081	soogi	"funeral service"
733	爆発	16072	bakuhatu	explosion
734	機会	16060	kikai	chance
735	混乱	16059	konran	disorder
736	転換	16040	tenkan	convert
737	演出	16017	ensyutu	production
738	印象	16001	insyoo	impression
739	対話	15996	taiwa	dialogue
740	作成	15962	sakusei	"drawing up"
741	観測	15944	kansoku	observation
742	細胞	15944	saiboo	cell
743	売却	15886	baikyaku	"selling off"
744	実行	15838	zikkoo	practice
745	不満	15813	human	dissatisfaction
746	注意	15786	tyuui	caution
747	価値	15765	kati	value
748	以前	15689	izen	ago
749	中止	15679	tyuusi	suspension
750	出演	15651	syutuen	performance
751	取得	15648	syutoku	acquisition
752	魅力	15644	miryoku	charm
753	連携	15628	renkei	cooperation
754	連邦	15511	renpoo	commonwealth
755	高速	15489	koosoku	"high speed"
756	賠償	15475	baisyoo	reparations
757	入院	15448	nyuuin	hospitalization
758	不良	15437	huryoo	badness
759	会員	15430	kaiin	member
760	秘書	15414	hisyo	secretary
761	授業	15412	zyugyoo	lesson
762	資料	15400	siryoo	materials
763	史上	15396	sizyoo	historical
764	意欲	15391	iyoku	will
765	警戒	15386	keikai	vigilance
766	撤退	15380	tettai	evacuation
767	大型	15328	oogata	large
768	実績	15319	zisseki	achievements
769	傾向	15305	keikoo	tendency
770	貢献	15301	kooken	contribution
771	普通	15295	hutuu	general
772	芸術	15246	geizyutu	art
773	監視	15234	kansi	monitoring
774	水準	15214	suizyun	level
775	方式	15182	hoosiki	form
776	失敗	15177	sippai	failure
777	費用	15177	hiyoo	cost
778	公式	15173	koosiki	formality
779	回収	15134	kaisyuu	collection
780	期限	15121	kigen	term
781	訃報	15114	huhoo	"news of a person's death"
782	先制	15110	sensei	preempt
783	大変	15108	taihen	very
784	資本	15098	sihon	funds
785	退職	15081	taisyoku	retirement
786	物語	15067	monogatari	tale
787	病気	15055	byooki	illness
788	更新	15034	koosin	renewal
789	解除	15030	kaizyo	cancellation
790	現金	14983	genkin	cash
791	生命	14960	seimei	life
792	作戦	14949	sakusen	tactics
793	国土	14932	kokudo	country
794	公判	14931	koohan	"public hearing"
795	崩壊	14901	hookai	collapse
796	融資	14898	yuusi	financing
797	適用	14885	tekiyoo	applying
798	元気	14863	genki	health
799	書記	14859	syoki	clerk
800	旅行	14856	ryokoo	travel
801	伝統	14835	dentoo	tradition
802	場面	14824	bamen	scene
803	非常	14820	hizyoo	emergency
804	比例	14813	hirei	proportion
805	収入	14803	syuunyuu	income
806	中間	14791	tyuukan	middle
807	原発	14784	genpatu	"nuclear power plant"
808	下落	14772	geraku	depreciation
809	今週	14753	konsyuu	"this week"
810	応援	14646	ooen	aid
811	学園	14615	gakuen	academy
812	検察	14587	kensatu	examination
813	意思	14554	isi	intention
814	深刻	14542	sinkoku	serious
815	再編	14525	saihen	reorganization
816	想定	14514	sootei	hypothesis
817	原油	14476	genyu	"crude oil"
818	閣議	14470	kakugi	"cabinet meeting"
819	国交	14470	kokkoo	"diplomatic relations"
